Judul,penulis,Dosen Pembimbing I,Dosen Pembimbing II,abstrak
Pengaruh Penggunaan Media Audio Visual Terhadap Hasil Belajar Siswa Kelas III SD Negeri Pejagan 1,Penulis : Dessy Setyowati,"Drs. Harun Al Rasyid, M.Si","Wanda Ramansyah, S.Pd., M.Pd","Latar belakang penelitian ini adalah penggunaan media dalam pembelajaran yang masih kurang diterapkan, keterbatan media pembelajaran yang ada di sekolah dan perlu adanya inovasi pembelajaran. Hal tersebut menyebabkan adanya kurang ketertarikan dengan pembelajaran. Selain itu pengajaran yang masih berpusat pada guru serta penggunaan media pembelajaran yang belum ada membuat proses pembelajaran kurang menarik. Penggunaan media pembelajaran akan dapat mempermudah dan mengefektifkan proses pembelajaran. Fungsi utama dari media pembelajaran adalah sebagai alat bantu mengajar. Penelitian ini bertujuan untuk mengetahui pengaruh penggunaan media audio visual terhadap hasil belajar siswa pada materi kerjasama mata pelajaran Ilmu Pengetahuan Sosial kelas III. 
Penelitian ini menggunakan metode penelitian kuantitatif dengan jenis metode penelitian eksperimen. Pada penelitian ini bentuk true exsperimental design dengan menggunakan teknik pretest-posttest control group design. Hasil analisis data menunjukkan thitung (2,196) >  ttabel (2,045) maka keputusannya adalah Ho ditolak. Jadi dapat disimpulkan bahwa penggunaan media audio visual berpengaruh terhadap hasil belajar siswa pada materi kerjasama kelas III di SD Negeri Pejagan 1.
"
Strategi Sekolah dalam Upaya Penguatan Karakter Disiplin Siswa (Studi Kasus pada SDN Demangan 1 Bangkalan),Penulis : Holiyah Sari,"Mujtahidin, S.Pd., M.Pd","Moh. Edy Nurtamam, S.Pd., M.Si","Penelitian ini bertujuan untuk mengetahui gambaran kedisiplinan siswa, strategi yang dilakukan sekolah dalam upaya penguatan karakter disiplin siswa, strategi penguatan karakter disiplin dalam mata pelajaran, dan faktor yang memengaruhi penguatan karakter disiplin siswa SDN Demangan 1 Bangkalan. Jenis penelitian kualitatif deskriptif digunakan dalam penelitian ini dengan pendekatan studi kasus di SDN Demangan 1 agar dapat mengungkap fokus penelitian secara tajam dan akurat. Pengumpulan data dilakukan dengan menggunakan metode observasi, wawancara, dokumentasi, catatan lapangan, dan triangulasi. Sampel sumber data dipilih secara purposive sampling dengan strategi snowball sampling. Hasil Penelitian menunjukkan bahwa: (1) karakter disiplin siswa SDN Demangan 1 Bangkalan sudah cukup baik, namun masih perlu adanya upaya penguatan, (2) strategi penguatan karakter disiplin siswa terdiri dari upaya sekolah dan guru kelas. Strategi sekolah meliputi: keranjang tertib, buku penghubung siswa, kegiatan sekolah seperti kegiatan upacara, baris-berbaris, bersih-bersih, dan esktrakurikuler. Sedangkan strategi guru kelas meliputi miscall shubuh, dan pemberian hadiah maupun hukuman, (3) strategi penguatan karakter disiplin dibebankan pada semua mata pelajaran melalui proses pembelajaran dan dapat dilihat pada RPP yang disusun oleh guru, (4) faktor yang memengaruhi terdiri dari: (b) faktor penghambat/kendala paling utama terletak pada faktor internal yaitu diri siswa itu sendiri, sedangkan faktor eksternal yaitu lingkungan keluarga, dan teman sebaya.

Kata Kunci: strategi, karakter disiplin, siswa
"
Perbandingan Hasil Belajar Cooperative Learning Metode Group Investigation dan Think Pair Share Pada Tema Berbagai Pekerjaan SDN Demangan 1 Bangkalan,Penulis : Dwi Indah Rahayuingsih,"Eva Ari Wahyuni, S.Pd., M.Si","Muhammad Busyro Karim, S.Ag., M.Si","Penelitian âPerbandingan Hasil Belajar Cooperative Learning Metode Group Investigation dan Think Pair Share Pada Tema Berbagai Pekerjaan SDN Demangan 1â bertujuan untuk mengetahui perbandingan hasil belajar siswa kognitif. Penelitian dilakukan di SDN Demangan 1 Bangkalan pada Tema 4 Berbagai Pekerjaan Sub Tema 3 Pekerjaan Orang Tuaku Pembelajaran 1. Metode penelitian ini adalah Quasi Experimental Design dengan Pretest-Postet control group design dengan dua macam perlakuan yang berbeda di dua kelas eksperimen. Sampel yang digunakan adalah Kelas IVA dan IVB. Instrumen penelitian yang digunakan adalah Tes Hasil Belajar (THB) objektif sebanyak 20 soal dan lembar observasi yang terdiri dari keterlaksanaan pembelajaran dan aktivasi siswa. Uji-t Pretest kedua kelas menyatakan bahwa H0 diterima dengan thitung 0,2153 dan ttabel 1,997, sehingga tidak terdapat perbedaan hasil belajar kelas GI dan TPS. Sedangkan, uji-t Postest kedua kelas menyatakan bahwa H0 ditolak dengan thitung 2,0991dan ttabel 1,997, sehingga terdapat perbedaan hasil belajar kelas GI dan TPS. Dari uji gain ternormalisasi (g) peningkatan hasil belajar TPS lebih baik dari metode GI, dengan nilai (g) kelas TPS 0,63 lebih besar dari nilai (g) GI 0,48."
Kemampuan Berpikir Tingkat Tinggi Siswa Kelas V SDN Pejagan 1 Bangkalan Tema Kerukunan dalam Bermasyarakat pada Kurikulum 2013,Penulis : Fatimatus Zakiyah,"Priyono Tri Febrianto, S.Sos., M.Si","Wahid Khoirul Ikhwan, M.Pd","Penelitian ini bertujuan untuk mengetahui kemampuan berpikir tingkat tinggi siswa kelas V pada tema âKerukunan dalam Bermasyarakatâ. Berpikir tingkat tinggi perlu untuk dimiliki siswa mulai jenjang Sekolah Dasar (SD) terutama kelas atas dengan tujuan agar siswa mampu memecahkan masalah dengan logis dan mempersiapkan ke jenjang berikutnya. Metode dalam penelitian ini menggunakan kuantitatif deskriptif yang dilaksanakan di SDN Pejagan 1 Bangkalan dengan populasi siswa kelas V Tahun Ajaran 2014/2015. Teknik pengambilan sampel menggunakan sampling jenuh. Sampel penelitian sebanyak 39. Pengumpulan data menggunakan tes prestasi yang memuat ranah kognitif C4 (menganalisis), C5 (mengevaluasi), dan C6 (mencipta) pada taksonomi Bloom untuk mengetahui kemampuan berpikir tingkat tinggi siswa, kuesioner dan lembar observasi untuk mengetahui pembelajaran yang dilaksanakan. Teknik analisis data menggunakan t-tes satu sampel. Berdasarkan hasil penelitian dapat disimpulkan bahwa: (1) kemampuan berpikir tingkat tinggi siswa lebih dari 60%, dibuktikan dengan rata-rata kemampuan berpikir tingkat tinggi siswa dengan persentase 64,53%. (2) dalam pembelajaran secara umum sudah dilaksanakan dengan baik dan sudah mencakup level kemampuan berpikir tinggi siswa."
Hubungan Antara Kemandirian Belajar dengan Hasil Belajar Siswa pada Implementasi Kurikulum 2013 Tema 4 Berbagai  Pekerjaan (Studi Kasus Siswa Kelas IV SDN Kraton 3 Bangkalan Tahun Ajaran 2014/2015),Penulis : Diska Febriadi,"Drs. Harun Al Rasyid, M.Si.","Muhammad Busyro Karim, S.Ag., M.Si.","Penelitian ini bertujuan untuk mengetahui hubungan antara kemandirian belajar dengan hasil belajar Tema 4 Berbagai Pekerjaan pada siswa kelas IV SDN Kraton 3 Bangkalan Tahun Ajaran 2014/2015. Metode penelitian yang digunakan adalah metode survei dengan pendekatan korelasional. Populasinya adalah siswa kelas IV yang berjumlah 46 orang. Data dijaring dengan menggunakan instrumen berbentuk kuesioner dan tes hasil belajar Tema 4 Berbagai Pekerjaan. Uji persayaratan analisis menunjukkan bahwa variabel X dan Y berdistribusi normal. Persamaan regresi kedua variabel adalah Y = -4,282 + 0,251X. Hasil perhitungan koefisien korelasi menghasilkan r sebesar 0,597. Hasil pengujian signifikansi koefisien dengan menggunkan uji t menunjukkan kedua variabel adalah signifikan. Perhitungan koefisien determinasi menghasilkan r2 = 0,342. Ini berarti bahwa 34,2% variansi hasil belajar ditentukan oleh kemandirian belajar. 

Kata Kunci: kemandirian belajar, hasil belajar, survei, regresi,  korelasi
"
"IMPLEMENTASI STRATEGI PEMBELAJARAN BERBASIS MASALAH (SPBM) DALAM PEMBELAJARAN MATERI ILMU PENGETAHUAN SOSIAL SEKOLAH DASAR BERDASARKAN KURIKULUM 2013 
DI SDN PEJAGAN 1 KELAS V",Penulis : Yemima Natalia,"Priyono Tri Febrianto, S.Sos., M.Si","Muhammad Busyro Karim, S.Ag., M.Si","Penelitian ini dilaksanakan bertujuan untuk mengetahui pelaksanaan pembelajaran yang dilakukan guru dengan menggunakan implementasi Strategi Pembelajaran Berbasis Masalah (SPBM) dalam pembelajaran materi Ilmu Pengetahuan Sosial pada kurikulum 2013. Penelitian ini menggunakan rancangan penelitian deskriptif kualitatif. Pengumpulan data dilakukan dengan teknik wawancara, observasi, dan dokumentasi. Pengecekan keabsahan data, dilakukan kegiatan triangulasi data. Kegiatan analisis data dimulai dari tahap reduksi data, display data, dan mengambil kesimpulan. Berdasarkan hasil analisis dapat disimpulkan bahwa: (1) Implementasi Strategi Pembelajaran Berbasis Masalah (SPBM) dalam pembelajaran materi Ilmu Pengetahuan Sosial Sekolah Dasar berdasarkan kurikulum 2013 pada pelaksanaan pembelajaran sangat baik untuk diimplementasikan, (2) Guru wali kelas lima SDN Pejagan 1 Bangkalan sudah paham tentang implementasi Strategi Pembelajaran Berbasis Masalah (SPBM).
 
Kata Kunci: Strategi Pembelajaran Berbasis Masalah (SPBM), Ilmu 
Pengetahuan Sosial, Kurikulum 2013."
Pengaruh Tayangan Film Kartun âBoboi Boyâ terhadap Tingkat Kecerdasan Interpersonal Siswa dengan Karakter Sosial Insight (Pemahaman Sosial) (Studi kasus pada siswa kelas V SD Negeri Kwangsan Sedati da,Penulis : Rizky Zaskia Arifin,"Priyono Tri Febrianto, S.Sos., M.Si","Muhammad Busyro Karim, S.Ag., M.Si","Penelitian ini bertujuan untuk mengetahui pengaruh dari tayangan film Boboi Boy terhadap tingkat kecerdasan interpersonal dengan karakter social insight (pemahaman sosial) pada siswa kelas V SDN Kwangsan Sedati pada pembelajaran Ilmu Pengetahuan Sosial Tema 4. Penelitian ini menggunakan metode penelitian kuantitatif deskriptif. Hasil dalam penelitian ini menunjukkan bahwa ada pengaruh negatif dan signifikan dari tayangan film kartun Boboi Boy terhadap kecerdasan interpersonal dengan karakter social insight (pemahaman sosial). Artinya jika pengaruh tayangan film kartun Boboi Boy yang bersifat negatif rendah maka kecerdasan interpersonal dengan karakter social insight tinggi. Hasil ini dapat dilihat berdasarkan analisis regrei linier sederhana dan uji parsial yang menunjukkan bahwa nilai B (pengaruh variabel X) -0.532, thitung -2.055, dengan signifikansi 0.05. 
Kata Kunci: film kartun Boboi Boy, kecerdasan interpersonal karakter sosial insight (pemahaman sosial)
"
PENGARUH PEMBELAJARAN PKN DENGAN LAGU-LAGU NASIONAL TERHADAP SIKAP PATRIOTISME SISWA SD NEGERI KEMAYORAN I BANGKALAN,Penulis : Kiki Suhariyati,"Ariesta Kartika Sari, S.Si., M.Pd.","Mujtahidin, S.Pd., M.Pd.","ABSTRAK
PKn dalam konteks kurikulum pendidikan formal mempunyai kedudukan yang sangat penting dan strategis dalam rangka proses pembinaan terhadap warga negara Indonesia. Salah satu tugas dan peran PKn adalah menggariskan komitmen untuk melakukan proses pembangunan karakter bangsa. Konsekuensinya dalam pelaksanaan proses pembelajaran di sekolah harus membantu siswa dalam mengembangkan potensi serta kompetensi yang dimilikinya, baik potensi kognitif, afektif maupun prilaku dalam menghadapi lingkungan hidupnya, baik fisik maupun lingkungan sosial budaya. Dasar mempelajari mata pelajaran PKn di sekolah, agar siswa diajarkan mengenai rasa cinta akan tanah air atau disebut dengan sikap patriotisme. Sikap patriotisme mengajarkan bagaimana menjadi warga negara yang memiliki kesetiaan dan loyalitas terhadap negara serta mengenali identitas yang dimiliki oleh negara Indonesia. Patriotisme adalah sikap untuk selalu mencintai atau membela tanah air. Penanaman sikap patriotisme pada mata pelajaran PKn melalui Lagu-lagu Nasional akan menstimulus terbentuknya sikap patriotisme pada diri siswa, karena Lagu-lagu Nasional merupakan wujud kecintaan pada tanah air Indonesia. Hasil posttest didapatkan nilai sig untuk pengujian perbandingan memiliki nilai sebesar 0,000 kurang dari taraf alpha yang digunakan yaitu 0,05 (0,000 < 0,05). Sedangkan pada perhitungan manual didapatkan nilai t hitung sebesar -5,1627 < -1,995 atau ât hitung < -t (?/2;n-k). Maka didasarkan pada hipotesis yang ditentukan dan cara penarikan keputusan dapat disimpukan bahwa terdapat perbedaan yang nyata rata-rata hasil posttest antara kelas kontrol dan kelas eksperimen yaitu antara kelas VC dengan kelas VA SD Negeri Kemayoran I Bangkalan.
Kata Kunci : (1) Pembelajaran PKn , (2) Lagu-lagu Nasional, (3) Sikap Patriotisme"
PERBANDINGAN HASIL BELAJAR IPA DENGAN MODEL QUANTUM TEACHING DAN INKUIRI MELALUI METODE EKSPERIMEN KELAS III SDN PEJAGAN 1 BANGKALAN,Penulis : DESI FAIZAH CAHYATI,"BADRUD TAMAM, S.Si., M.Pd","MUJTAHIDIN, S.Pd., M.Pd","Penggunaan model pembelajaran Quantum Teaching dan inkuiri melalui metode eksperimen dapat menyajikan pembelajaran IPA secara ideal. Penelitian ini bertujuan mengetahui perbandingan hasil belajar IPA siswa kelas III SDN Pejagan 1 dengan penerapan model Quantum Teaching dan inkuiri melalui metode eksperimen. Metode penelitian yang digunakan adalah quasi eksperimen dimana kedua kelas diberi perlakuan berbeda. Waktu penelitian dari Bulan Oktober hingga Desember 2014. Populasinya adalah seluruh siswa kelas III SDN Pejagan 1 Bangkalan tahun pelajaran 2014/2015. Sampel merupakan sampel jenuh, seluruh populasi digunakan dalam penelitian. Kelas III A adalah kelas eksperimen menggunakan model Quantum Teaching melalui metode eksperimen dan kelas III B adalah kelas eksperimen menggunakan model inkuiri melalui metode eksperimen. Uji hipotesis dilakukan dengan uji t dua pihak menggunakan nilai post test siswa setelah diterapkan perlakuan yang berbeda. Hasil penelitian adalah ada perbedaan hasil belajar IPA siswa kelas III SDN Pejagan 1 dengan penerapan model Quantum Teaching dan inkuiri melalui metode eksperimen (Fhitung = 2,225 > Ftabel = 2,005, dengan taraf signifikasi 5%). Dengan rata-rata hasil belajar 80,53 untuk kelas III A dan 86,55 untuk kelas III B. Implikasi dari penelitian ini adalah model inkuiri melalui metode eksperimen memberikan pengaruh yang lebih baik terhadap hasil belajar siswa pada mata pelajaran IPA."
ANALISIS KUALITAS BUTIR SOAL OBJEKTIF ULANGAN TENGAH SEMESTER I MATA PELAJARAN IPA KELAS III SD NEGERI KECAMATAN BANGKALAN TAHUN AJARAN 2014/2015,Penulis : ONIV SISTA HERYANTI,"BADRUD TAMAM, S.Si., M.Pd","FATIMATUL MUNAWAROH, S.Si., M.Si","Analisis butir soal sangat penting dilakukan sebelum melaksanakan ulangan tengah semester. Tujuan penelitian ini adalah untuk menjelaskan kualitas butir soal meliputi validitas logis, reliabilitas, tingkat kesukaran, daya pembeda dan pengecoh. Jenis penelitian ini adalah kuantitatif deskriptif. Populasi yang digunakan berjumlah sebanyak 42 sekolah dengan jumlah siswa 1.544 siswa. Teknik pengambilan sampel menggunakan stratified random sampling. Sekolah yang digunakan yaitu SDN Kemayoran 1 sebagai perwakilan dari sekolah berakreditasi A, SDN Demangan 4, SDN Pejagan 1, SDN Pejagan 2 sebagai perwakilan berakreditasi B, SDN Pangeranan 1 dan SDN Kraton 5 sebagai perwakilan berakreditasi C dengan jumlah sampel 157 siswa. Berdasarkan hasil penelitian dapat disimpulkan bahwa (1) Soal ulangan tengah semester I mata pelajaran IPA kelas III SD Negeri kecamatan Bangkalan tergolong sangat baik. Sedangkan dalam pengukuran validitas isi sudah baik dengan kriteria kesesuaian sebesar 85%. (2) Soal tersebut memiliki reliabilitas yang sangat baik pada soal pilihan ganda. (3) Soal tersebut memiliki tingkat kesukaran yaitu 30% mudah, 45% sedang dan 25% sukar. (4) Soal tersebut memiliki daya pembeda soal yaitu 10% baik sekali, 45% baik, 30% cukup dan 15% jelek. (5) Soal tersebut memiliki pengecoh yaitu 75% berfungsi dan 25% tidak berfungsi."
