Judul Artikel,Kalimat Artikel,Jenis Berita
"30 Kampus Terbaik di Pimnas ke-36, UGM Juara Umum","Jakarta-Universitas Gadjah Mada menjadi juara umum Pekan Ilmiah Mahasiswa Nasional (Pimnas) ke-36. Atas perolehan 26 medalinya, UGM dianugerahi Penghargaan Piala Adikarta Kertawidya di Penutupan & Penganugerahan Pimnas ke-36 Tahun 2023 di Universitas Padjajaran, Jatinangor, Kamis (30/11/2023) malam.Pimnas adalah kompetisi mahasiswa nasional tahunan dari Balai Pengembangan Talenta Indonesia, Pusat Prestasi Nasional Kemendikbudristek. Tahun ini, ajang kreativitas dan intelektual mahasiswa ini menggandeng Unpad sebagai tuan rumah, seperti dilansirKanal Media Unpad.Pimnas ke-36 mempertandingkan Pekan Kreativitas Mahasiswa (PKM) Gagasan Futuristik Tertulis, PKM Kewirausahaan, PKM Karsa Cipta, PKM Karya Inovatif, PKM Penerapan Iptek, PKM Pengabdian Masyarakat, PKM Riset Eksakta, PKM Riset Sosial Humaniora, dan PKM Video Gagasan Konstruktif.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENT2.411 Mahasiswa di 525 kelompok terpilih di Pimnas ke-36. Para mahasiswa dari berbagai kampus dinilai oleh 77 juri tahun ini.Baca juga:2.419 Mahasiswa Bersaing di Pekan Ilmiah Mahasiswa Nasional ke-36Baca juga:6 Karya Ini Bisa Dijadikan Tugas Akhir Pengganti Skripsi, Apa Saja?UGM Juara Umum Pimnas ke-36Para mahasiswa UGM memperoleh 26 medali yang meliputi, 10 emas, 7 perak, dan 9 perunggu. Capaian ini membuat UGM kembali membawa pulang piala bergilir juara umum Pimnas.",Edukasi
"Universitas Harvard Buka Mata Kuliah Taylor Swift, Ini yang Dipelajari","Jakarta-Universitas Harvard membuka mata kuliah unik yang akan mempelajari seputar penyanyi Taylor Swift. Kelas ini ditawarkan oleh Departemen Bahasa Inggris Harvard untuk perkuliahan musim semi 2024.Pengajar kelas ini adalah Stephanie Burt, yang juga merupakan seorang Swiftie fanatik. Ia mengatakan secara spesifik kelas ini diberi nama ""Taylor Swift and Her World"". ""Saya ingin mengajar mata kuliah khusus. Namun saya tidak ingin hanya mengajar mata kuliah khusus,"" katanya laman resmi Harvard, dikutip pada Jumat (1/12/2023).ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTBaca juga:5 Universitas Ini Buka Mata Kuliah Taylor Swift, Belajar Apa Saja?Ia menuturkan kelas mata kuliah Taylor Swift ini dibuka karena melihat betapa fenomenalnya penyanyi wanita tersebut.",Edukasi
"UIN Walisongo Kukuhkan 15 Guru Besar Serentak, Kini Punya 39 Profesor","Jakarta-Berbeda dari biasanya, Universitas Islam Negeri (UIN) Walisongo Semarang baru saja mengukuhkan sebanyak 15 guru besar secara serentak pada Kamis (30/11/2023) di Gedung Prof Tgk Ismail Yaqub, kampus UIN Walisongo.Pengukuhan guru besar dipimpin Plt Rektor UIN Walisongo, Prof Dr Nizar Ali MAg. Prosesi pengukuhan disaksikan Prof Dr Hamdan Said dari Universitas Teknologi Malaysia, Maha Guru Besar Prof Dr Irwan Abdullah, Rektor Universitas Negeri Unnes Prof Dr S Martono MSi, Rektor IAIN Kudus Prof Dr H Abdurrohman Kasdi Lc MSi, Rektor UIN KH Abdurrahman Wahid (Gus Dur) Prof Dr H Zaenal Mustakim MAg, dan Rektor Universitas Dian Nuswantoro (Udinus) Prod Dr Edi Noer Sasongko MKom.Total guru besar UIN Walisongo kini sebanyak 39 orang dari ilmu psikologi hingga ilmu tafsir. Nizar yang juga Sekretaris Jenderal Kementerian Agama RI berharap guru besar dapat berdampak besar besar bagi UIN Walisongo agar mempunyai daya saing nasional maupun internasional.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTBaca juga:UIN Jakarta Kukuhkan 42 Guru Besar Baru, Jadi PTKIN dengan Profesor TerbanyakBaca juga:UIN Walisongo dan Soegijapranata Catholic University Teken Kerja Sama, soal Apa?Orasi ilmiah para guru besar menyoal pembahasan bertajuk ""Dari Cendekiawan Untuk Kemanusiaan dan Peradaban"". Guru besar UIN Walisongo diharapkan memperkuat visi kampus, yakni Universitas Islam Riset Terdepan Berbasis Unity of Sciences untuk Kemanusiaan dan Peradaban Tahun 2023. ""Guru Besar menjadi pilar utama perjalanan akademis, keberhasilan mereka diharapkan menjadi inspirasi dalam mengembangkan ilmu pengetahuan,"" kata Nizar dalam keterangan resmi kampus, dikutip Jumat (1/12/2023).",Edukasi
"Siswa Bisa Jadi Peneliti, Ilmuwan BRIN: Ini Syarat & Keuntungannya","Jakarta-Budaya meneliti bisa dimulai pada level sekolah dan dilakukan para siswa. Hal ini diungkapkan Kepala Pusat Riset Pendidikan Badan Riset dan Inovasi Nasional (BRIN), Trina Fizzanty. ""Budaya meneliti bisa dilakukan di tingkat sekolah. Riset tak harus dilakukan pada level kelembagaan,"" ujar Trina dalam diskusi bertema ""Penguatan Budaya Meneliti di Tingkat Sekolah"", Rabu (29/11/2023), dikutip dari rilis laman BRIN.Selaras dengan hal ini, peneliti Pusat Riset Pendidikan, Janu Arlinwibowo mengatakan, objek untuk penelitian siswa bisa berupa segala hal yang ada di sekitarnya.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTMelalui pemaparan isi bukunya yang bertajuk ""Menjadi Siswa Peneliti"", Janu menjelaskan bahwa siswa peneliti adalah siswa yang mampu melakukan riset secara terukur sesuai dengan talenta yang dimiliki.Syarat Jadi Siswa PenelitiJanu menyampaikan, syarat menjadi peneliti adalah didasari kemauan, ide yang dapat diwujudkan sesuai talenta, bakat, usaha, dan lainnya. Dia menyebut siswa pada umumnya tidak diminta untuk wajib memiliki fasilitas laboratorium.",Edukasi
"10 Film Pendek Terpilih Layar Indonesiana 2023 Tampil di JAFF ke-18, Ini Daftarnya","Jakarta-Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi (Kemendikbudristek) melalui Direktorat Perfilman, Musik, dan Media kembali menyelenggarakan Layar Indonesiana. Kompetisi tersebut menghasilkan 10 film pendek yang tampil dalam Jogja Netpac Film Festival ke-18 (JAFF).Layar Indonesiana merupakan sebuah kompetisi proposal ide cerita film dengan tema Dinamika Kebudayaan. Sebanyak 10 proyek film terpilih mendapatkan pendukungan dana produksi, short course bersama dengan New York Film Academy, lokakarya perfilman, dan sesi mentoring dari filmmaker profesional.Baca juga:7 Rekomendasi Film Bertema Guru, Pas Buat Rayakan Hari Guru NasionalBaca juga:Film Bermodal HP Antar Sally Anak UNS Menang Festival di Korea""Tahun ini Kemendikbudristek kembali menyelenggarakan Layar Indonesiana sebagai bukti komitmen untuk terus mendorong tumbuhnya bakat-bakat baru perfilman Indonesia dari berbagai daerah, dan menumbuhkan karya-karya baru film pendek yang mengangkat narasi lokal dalam rangka pemajuan kebudayaan dan penguatan ekosistem perfilman nasional,"" ungkap Direktur Perfilman, Musik, dan Media Kemendikbudristek, Ahmad Mahendra dalam keterangan resminya, Kamis (30/11/2023).ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTJumlah peserta Layar Indonesiana tahun ini mencapai 675 dari seluruh Indonesia. Proses seleksi dan penjurian telah dilaksanakan pada bulan Juli 2023 lalu, oleh tim kurator yang terdiri dari profesional di bidang perfilman, yaitu Ifa Isfansyah (Produser/Sutradara), Rahabi Mandra (Sutradara/Penulis Naskah), Rina Damayanti (Produser/Director Film Festival), Yulia Evina Bhara (Produser).Setelah proses seleksi selesai, proyek film yang terpilih mendapat kesempatan mengembangkan skenario melalui online short course bersama penulis skenario international dari New York Film Academy dan juga lokakarya Movie Lab bersama mentor filmmaker, yaitu Wregas Bhanutedja (Sutradara), Irfan Ramli (Penulis Skenario), Makbul Mubarak (Sutradara), dan Perdana Kertawiyudha (Penulis Skenario).10 Proyek Film Pendek Terpilih Layar Indonesiana 2023Dari ratusan pendaftar, terpilih 10 proyek film pendek Layar Indonesiana 2023 sebagai berikut:1. ""Black Passenger"" karya Nomad Film dari Sorong, Papua Barat2.",Edukasi
"Studi: Selera Musik Mampu Prediksi Moral Kamu, Begini Penjelasannya","Jakarta-Sebuah studi dari mengungkap bahwa selera musik seseorang bisa mencerminkan moralnya. Temuan tim ilmuwan dari Queen Mary University of London dan ISI Foundation di Turin, Italia ini berangkat dari analisis lirik dan fitur audio lagu untuk mengungkap hubungan antara musik dengan moralitas seseorang. ""Studi kami memberikan bukti kuat bahwa preferensi musik dapat berfungsi sebagai jendela menuju nilai-nilai moral seseorang,"" kata Dr Charalampos Saitis dari Queen Mary University of London, dikutip dari laman resmi kampus.Baca juga:Dengar Musik Favorit Bisa Kurangi Rasa Sakit, Sudah Coba?Baca juga:Kisah Dedi, Pernah Nyanyi di Istana hingga Dapat Beasiswa LPDP ke SkotlandiaSurvei Selera MusikPenelitian ini melibatkan 1.400 peserta untuk menyelesaikan sebuah kuesioner psikometri. Tes tersebut digunakan untuk menilai nilai moral, mengetahui musisi favorit, dan mengenal selera musik para responden melalui like atau fitur suka di Facebook.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTPara peneliti kemudian mengekstrak fitur audio dan lirik dari lima lagu teratas pilihan masing-masing peserta. Mereka menggunakan algoritma ML untuk memprediksi nilai moral para peserta.Sejumlah teknik pemrosesan teks, termasuk metode berbasis leksikon dan penyematan BERT, digunakan untuk menganalisis narasi, nilai moral, sentimen, dan emosi dalam lirik.",Edukasi
Apa Itu ISBN? Ini Penjelasan Nomor yang Kerap Ada di Buku,"Jakarta-Detikers, pernahkah kamu memperhatikan nomor yang ada di dalam buku? Hampir setiap buku yang terbit memiliki kode identifikasi bernama ISBN.ISBN atau International Standard Book Number adalah kode pengidentifikasian buku. ISBN mencakup informasi tentang judul, penerbit, dan kelompok penerbit yang tertera dalam 13 digit angka.Baca juga:10 Karya Literatur Tertua di Dunia, Ada yang Berusia 4.000 TahunBaca juga:Mengetahui Struktur Teks Editorial Beserta Ciri-ciri dan ContohnyaISBN sendiri diberikan oleh Badan Internasional ISBN yang berkedudukan di London. Di Indonesia, badan yang memberikan ISBN adalah Perpustakaan Nasional (Perpusnas) RI.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTPerpusnas sendiri membatasi jumlah ISBN yang diberikan perhari. Melansir dari laman resminya, penerbit hanya diberikan kuota 10 judul perhari untuk diajukan sebagai penerima ISBN.Fungsi ISBNFungsi dari ISBN antara lain:Memberikan identitas pada satu judul buku yang diterbitkan oleh penerbitMembantu memperlancar arus distribusi bukuSarana promosi bagi penerbitMakna Nomor ISBNISBN yang terdiri dari 13 digit angka ternyata memiliki makna, lho.",Edukasi
"Tanaman Menangis Jika Tidak Disiram dan Dirawat, Begini Studinya","Jakarta-Tanaman ternyata bisa mengeluarkan suara layaknya tangisan manusia saat butuh air atau terluka. Penelitian mendapati, komunikasi tanaman ini layaknya bayi yang lapar dan butuh susu.Namun, tidak seperti tangis bayi, peneliti harus menggunakan mikrofon khusus untuk menangkap suara tanaman. Sebab, suara tanaman bersifat ultrasonik, dengan kekuatan suara antara 20 -100 kilohertz, sebagaimana dilansirIFL Science.Baca juga:Apa yang Terjadi Jika Tidak Ada Pohon? Begini Dampaknya bagi ManusiaBaca juga:Nggak Punya Mata, Bagaimana Cara Bunga Matahari 'Melihat' Matahari?Suara Tinggi TanamanPeneliti Itzhak Khait dan rekan-rekan melakukan percobaan pada tanaman tomat serta tembakau yang mengalami stres dan tidak stres. Tanaman stres dalam hal ini adalah tanaman yang tidak disiram beberapa hari dan batangnya sedikit dipotong.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTAgar identifikasi suara akurat, peneliti meletakkan tanaman di ruang akustik kedap suara.",Edukasi
15 Contoh Soal PAS Matematika Kelas 8 Semester Ganjil Kurikulum Merdeka,"Jakarta-Berikut 15 contoh soal PAS Matematika kelas 8 semester ganjil Kurikulum Merdeka Belajar yang bisa dijadikan acuan siswa untuk berlatih dan belajar. Mengutip buku Matematika kelas VIII yang dikeluarkan Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi pada tahun 2022, siswa telah mempelajari tiga bab pada semester ganjil.Bab pertama mempelajari tentang bilangan berpangkat baik bulat, bentuk akar, dan bentuk bakunya. Bab kedua mempelajari konsep teorema Pythagoras, dan terakhir tentang Persamaan Linear dan Pertidaksamaan Linier Satu Variabel.Agar mudah mengerjakan soal PAS nantinya, berikut 15 contoh soal PAS Matematika kelas 8 yang dikembangkan dari berbagai modul Kemendikbudristek.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTBaca juga:40 Soal Latihan PAS Fisika Kelas 12 Semester Ganjil, Cocok buat Latihan!15 Contoh Soal PAS Matematika Kelas 81. Sederhanakan bentuk perpangkatan berikut ke dalam bentuk baku!83x 25x 106= .....A. 1,6384 x 103B.",Edukasi
20 Contoh Soal PAS Matematika Kelas 7 Semester 1 Kurikulum Merdeka Plus Jawabannya,"Jakarta-Berikut 20 contoh soal PAS Matematika kelas 7 semester 1 Kurikulum Merdeka beserta dengan jawabannya. Berdasarkan buku Matematika terbitan Kemendikbudristek, siswa telah mempelajari tentang bilangan bulat, bilangan rasional dan rasio.Agar semakin memahami materi yang telah lewat, yuk kembali ulas dan latih melalui berbagai soal pengembangan berikut. Dikutip dari buku Top No 1 Ulangan Harian karya Tim Guru Indonesia dan Modul Pembelajaran Kemendikbudristek ini soal selengkapnya.20 Contoh Soal PAS Matematika Kelas 7 SMP Semester Ganjil1. Hasil dari 2 + (-5) adalah....ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTA. -3B.",Edukasi
