judul,isi,label
Polda Jambi tangkap empat orang pelaku pemalsuan BBM ,"
				Jambi (ANTARA) - Direktorat Reserse dan Kriminal Khusus (Ditreskrimsus) Polda Jambi menangkap empat orang pelaku pemalsuan dan pemurnian bahan bakar minyak (BBM) di Desa Samaran, Kecamatan Pauh, Kabupaten Sarolangun.

Direktur Reskrimsus Polda Jambi Komisaris Besar Polisi Christian Tory di Jambi, Senin, mengatakan pengungkapan kasus pemalsuan dan pemurnian BBM ilegal ini terjadi pada Kamis (30/11) saat anggota kepolisian ke tempat kejadian perkara (TKP) sekitar pukul 23.30 WIB.

Dari TKP polisi menemukan adanya aktivitas pemalsuan dan pemurnian BBM ilegal. Kemudian tim melakukan penindakan di TKP dan menangkap empat orang pelaku yang menjadi pekerja di tempat pemalsuan minyak tersebut.

Empat orang pelaku tersebut yakni MT, E,IW dan LP. Dari tempat kejadian itu, pihaknya juga mengamankan sejumlah barang bukti, di antaranya tungku besi, tedmon berkapasitas 1.000 liter, blower, mesin pompa, selang, satu buah jerigen berkapasitas 35 liter berisi cairan hitam menyerupai minyak bumi.

""Modus operasi mereka menerima minyak mentah yang diduga dari pengeboran minyak ilegal kemudian dibawa ke lokasi tempat pemurnian itu,"" kata dia.

Tory menjelaskan jika dari kegiatan pemurnian ini akan menghasilkan beberapa turunan produk seperti bensin, minyak tanah dan solar.

Berdasarkan keterangan dari pelaku bahwa kegiatan pengolahan minyak dilakukan dengan cara memasukkan minyak mentah ke dalam tungku besi yang kemudian dipanaskan dengan menggunakan api melalui pipa besi yang telah dihubungkan dengan kipas blower.

Selanjutnya setelah dipanaskan selama lima jam dari tungku yang dihubungkan dengan pipa besi kecil yang melewati bak air guna mendinginkan pipa yang selanjutnya akan keluar turunan minyaknya setelah proses selama 17 jam.

Dari penggunaan 70 drum minyak mentah, pelaku bisa menghasilkan lima drum bensin, 50 drum minyak tanah dan 10 drum solar.

Hasil pemalsuan minyak mentah ini dipasarkan pelaku kepada masyarakat luas mulai dari penjualan kedai minyak, kegiatan industri pertambangan, perkebunan hingga kegiatan lain yang menggunakan bahan bakar solar.

Menurut Tory, diduga penjualan tidak saja di wilayah Provinsi Jambi, tetapi juga dijual  ke luar Provinsi Jambi.

Akibat perbuatannya, kata Tory, empat pelaku tersebut dikenakan Pasal 54 Undang-Undang Nomor 22 tahun 2001 tentang Migas, dengan ancaman penjara selama enam tahun dan denda hingga Rp60 miliar.
 Pewarta: TuyaniEditor: Laode Masrafi				COPYRIGHT © ANTARA 2023
",hukum
Polisi selidiki kasus 22 warga Garut korban penipuan perjalanan umrah,"
				Garut (ANTARA) - Kepolisian Resor Garut melakukan penyelidikan kasus 22 warga Kabupaten Garut, Jawa Barat, korban penipuan pemberangkatan perjalanan umrah dengan memintai keterangan dan mengumpulkan bukti, juga sedang memburu terduga pelaku penipuan tersebut.

""Saat ini kami masih melakukan pemeriksaan kepada para saksi,"" kata Kepala Satuan Reskrim Polres Garut AKP Ari Rinaldo di Garut, Senin.

Ia menuturkan sudah mendapatkan laporan resmi dari warga yang menjadi korban penipuan pemberangkatan perjalanan umrah, dan pihaknya sudah melakukan pemeriksaan terhadap sejumlah saksi yang mengetahui agenda perjalanan umrah itu.

Kepolisian, lanjut dia, saat ini juga sedang melakukan pengejaran terhadap pelaku yang sudah diketahui identitasnya dan diduga menjadi orang yang terlibat dalam kasus penipuan perjalanan umrah tersebut.

""Pelaku masih dalam pengejaran,"" kata Ari.

Ia mengatakan tercatat warga Garut yang menjadi korban penipuan perjalanan umrah sebanyak 22 orang dengan biaya umrah yang dikeluarkan korban sebesar Rp30 juta per orang, sedangkan bagi warga yang statusnya ustadz atau guru ngaji diberikan keringanan biaya atau subsidi sehingga cukup membayar Rp20 juta per orang.

""Pelaku juga memberikan keringanan kepada para korban dengan mencicil biaya umrah, para korban ada yang sudah membayar Rp6 juta sampai dengan Rp30 juta,"" kata Ari.

Ia menyampaikan jamaah dari Garut itu dijadwalkan berangkat Oktober 2023, tetapi oleh penyelenggara diundur dengan jadwal berangkat pada 22 November 2023, mereka pun semua berangkat menggunakan bus.

Rombongan selanjutnya menginap di salah satu hotel di daerah Cengkareng, Jakarta, kemudian jamaah menanyakan waktu pemberangkatan berikutnya kepada terduga pelaku, lalu pelaku menyampaikan pemberangkatan diundur lagi.

Korban menilai ada yang salah dalam kegiatan perjalanan umrah itu, kemudian memutuskan untuk pulang ke Garut, lalu melaporkan kejadian terkait penipuan tersebut ke Polres Garut.
Baca juga: Forum Bersama umrahkan korban penipuan travel nakal
Baca juga: Kasus travel umrah lagi, korban PT Global capai 5.000 orangPewarta: Feri PurnamaEditor: Guido Merung				COPYRIGHT © ANTARA 2023
",hukum
KPK siap hadapi gugatan praperadilan Eddy Hiariej,"
				Jakarta (ANTARA) - Komisi Pemberantasan Korupsi (KPK) mengatakan pihaknya siap menghadapi gugatan praperadilan yang diajukan Wakil Menteri Hukum dan Hak Asasi Manusia (Wamenkumham) Edward Omar Sharif Hiariej alias Eddy Hiariej terkait penetapan dirinya sebagai tersangka dalam kasus dugaan tindak pidana korupsi.

""Kami tentu siap hadapi, silakan (ajukan praperadilan) sebagai suatu hak tersangka,"" Kepala Bagian Pemberitaan KPK Ali Fikri saat dikonfirmasi di Jakarta, Senin.

Ali berkeyakinan lembaga antirasuah telah melaksanakan seluruh prosedur dan ketentuan hukum yang berlaku dalam penetapan tersangka tersebut.

""Kami hanya ingin sampaikan bahwa semua proses penyidikan yang kami lakukan tentu telah sesuai ketentuan hukum yang berlaku,"" ujarnya.

Untuk diketahui, Eddy Hiariej mengajukan gugatan praperadilan ke Pengadilan Negeri Jakarta Selatan terkait penetapan dirinya sebagai tersangka oleh Komisi Pemberantasan Korupsi (KPK).

Gugatan dengan nomor perkara 134/Pid.Pra/2023/PN JKT.SEL tersebut didaftarkan pada Senin (4/12) dengan klasifikasi perkara sah atau tidaknya penetapan tersangka.

Adapun pemohon dalam gugatan tersebut selain Wamenkumham Eddy Hiariej adalah asisten pribadi Eddy Hiariej, Yogi Arie Rukmana, dan advokat Yosie Andika Mulyadi.

Informasi gugatan praperadilan tersebut dibenarkan oleh Humas PN Jakarta Selatan Djuyamto.

Sidang pertama Senin, 11 Desember 2023 dengan Hakim Tunggal Estiono SH, MH,"" kata Djuyamto saat dikonfirmasi di Jakarta, Senin.

Sebelumnya, penyidik KPK mengatakan pihaknya telah menandatangani surat penetapan Wamenkumham Eddy Hiariej sebagai tersangka kasus dugaan suap sekitar dua pekan lalu.

""Penetapan tersangka Wamenkumham, benar, itu sudah kami tanda tangani sekitar dua minggu lalu,"" kata Wakil Ketua KPK Alexander Marwata di Gedung Merah Putih KPK, Jakarta Selatan, Kamis (9/11).

Alex mengatakan pihaknya turut menetapkan tersangka lain dalam penyidikan kasus dugaan korupsi tersebut. ""Empat tersangka, dari pihak tiga penerima, pemberi satu,"" kata Alex.

Terpisah, Kementerian Sekretariat Negara (Kemensetneg) telah menerima surat pemberitahuan penetapan tersangka atas nama Wakil Menteri Hukum dan HAM Edward Omar Sharif Hiariej.

""Hari ini, pukul 14.48 WIB, Kemensetneg telah menerima surat pemberitahuan penetapan tersangka Wamenkumham, Bapak Edward Omar Sharif Hiariej,"" kata Koordinator Staf Khusus Presiden Ari Dwipayana dalam pesan singkat di Jakarta, Jumat (1/12).

Ari menyampaikan selanjutnya surat tersebut akan disampaikan kepada Presiden Joko Widodo.

""Saat ini, Bapak Presiden sedang berada di Dubai untuk menghadiri World Climate Action Summit COP 28. Rencananya Bapak Presiden kembali ke tanah air hari Minggu, 3 Desember 2023,"" kata dia.
Baca juga: KPK geledah rumah tersangka kasus suap Wamenkumham
Baca juga: Eddy Hiariej ajukan praperadilan terkait penetapan tersangka oleh KPK
Baca juga: Eddy Hiariej penuhi panggilan KPKPewarta: Fianda Sjofjan RassatEditor: Guido Merung				COPYRIGHT © ANTARA 2023
",hukum
Banten siapkan jaksa khusus tangani pelanggaran dan gugatan Pemilu,"

 









								ANTARA - Kepala Kejaksaan Tinggi Banten, Didik Farkhan Alisyahdi, Senin (4/12), menyatakan kesiapan pihak kejaksaan menghadapi Pemilu 2024 di wilayah Banten. Sesuai arahan Kejaksaan Agung, pihaknya juga telah menunjuk jaksa khusus di tiap wilayah yang ditugaskan untuk menangani perkara pelanggaran dan gugatan Pemilu. (Susmiatun Hayati/Andi Bagasela/Nabila Anisya Charisty)							
",hukum
Sembulungan dan Hinako resmi perkuat pertahanan laut Indonesia,"

 









								ANTARA - Kapal Angkatan Laut (KAL) Sembulungan dan Hinako pada Senin (4/12), resmi diluncurkan oleh Kepala Staf TNI Angkatan Laut Laksamana TNI Muhammad Ali. Kedua kapal patroli yang diproduksi di Indonesia tersebut akan memperkuat pertahanan di Pangkalan Angkatan Laut (Lanal) Banyuwangi dan Pulau Nias. (Holdan Parlaungan/Rizky Bagus Dhermawan/Farah Khadija)							
",hukum
Eddy Hiariej ajukan praperadilan terkait penetapan tersangka oleh KPK,"
				Jakarta (ANTARA) - Wakil Menteri Hukum dan Hak Asasi Manusia (Wamenkumham) Edward Omar Sharif Hiariej alias Eddy Hiariej mengajukan gugatan praperadilan ke Pengadilan Negeri Jakarta Selatan, terkait penetapan dirinya sebagai tersangka oleh Komisi Pemberantasan Korupsi (KPK).

Gugatan dengan nomor perkara 134/Pid.Pra/2023/PN JKT.SEL tersebut didaftarkan pada Senin dengan klasifikasi perkara sah atau tidaknya penetapan tersangka.

Adapun pemohon dalam gugatan tersebut selain Wamenkumham Eddy Hiariej adalah asisten pribadi Eddy Hiariej, Yogi Arie Rukmana, dan advokat Yosie Andika Mulyadi.

Informasi gugatan praperadilan tersebut dibenarkan oleh Humas PN Jakarta Selatan Djuyamto.

""Sidang pertama Senin, 11 Desember 2023 dengan Hakim Tunggal Estiono SH, MH,"" kata Djuyamto saat dikonfirmasi di Jakarta, Senin.

Sebelumnya, penyidik KPK mengatakan pihaknya telah menandatangani surat penetapan Wamenkumham Eddy Hiariej sebagai tersangka kasus dugaan suap sekitar dua pekan lalu.

""Penetapan tersangka Wamenkumham, benar, itu sudah kami tanda tangani sekitar dua minggu lalu,"" kata Wakil Ketua KPK Alexander Marwata di Gedung Merah Putih KPK, Jakarta Selatan, Kamis (9/11).

Alex mengatakan pihaknya turut menetapkan tersangka lain dalam penyidikan kasus dugaan korupsi tersebut. ""Empat tersangka, dari pihak tiga penerima, pemberi satu,"" kata Alex.

Terpisah, Kementerian Sekretariat Negara (Kemensetneg) telah menerima surat pemberitahuan penetapan tersangka atas nama Wakil Menteri Hukum dan HAM Edward Omar Sharif Hiariej.

""Hari ini, pukul 14.48 WIB, Kemensetneg telah menerima surat pemberitahuan penetapan tersangka Wamenkumham, Bapak Edward Omar Sharif Hiariej,"" kata Koordinator Staf Khusus Presiden Ari Dwipayana dalam pesan singkat di Jakarta, Jumat (1/12).

Ari menyampaikan selanjutnya surat tersebut akan disampaikan kepada Presiden Joko Widodo.

""Saat ini, Bapak Presiden sedang berada di Dubai untuk menghadiri World Climate Action Summit COP 28. Rencananya Bapak Presiden kembali ke tanah air hari Minggu, 3 Desember 2023,"" kata dia.

Baca juga: Ini alasan Polda Metro Jaya panggil kembali Firli Bahuri
Baca juga: Wamenkumham Eddy Hiariej bungkam usai enam jam diperiksa KPK
 Pewarta: Fianda Sjofjan RassatEditor: Tasrief Tarmizi				COPYRIGHT © ANTARA 2023
",hukum
Kanwil BPN Sulsel serahkan 200 sertifikat tanah ke lima kabupaten-kota,"

 









								ANTARA - Kantor Wilayah Badan Pertanahan Nasional (BPN) Sulawesi Selatan menyerahkan 200 sertifikat ke perwakilan 5 kabupaten-kota se-Sulsel pada Senin (4/12). Sulsel juga mulai menerapkan sertifikat elektronik yang merupakan upaya pemerintah mempermudah pengurusan administrasi sertifikat tanah sesuai roadmap transformasi digital Kementrian Agraria dan Tata Ruang (ATR) Badan Pertanahan Nasional (BPN) menuju institusi berstandar dunia. (Shintia Aryanti Krisna/Rizky Bagus Dhermawan/Hilary Pasulu)							
",hukum
Perketat pengawasan penyelundupan BBL di Bandara Soekarno Hatta,"

 









								ANTARA - Kementerian Kelautan dan Perikanan, melalui Direktorat Jenderal Pengawasan Sumber Daya Kelautan dan Perikanan (PSDKP), menyiagakan petugas pengawas untuk mencegah terjadinya penyelundupan Benih Bening Lobster (BBL) di Bandara Internasional Soekarno Hatta, Kota Tangerang, Banten. Pengawasan ini sangat penting untuk mencegah perbuatan ilegal karena pemerintah tidak memberikan izin ekspor BBL ke luar negeri. (Agung Andhika Indrawan/Sandy Arizona/Rinto A Navis)							
",hukum
Wakil Ketua DPR respons soal urgensi revisi UU MK bergulir di parlemen,"
				Jakarta (ANTARA) - Wakil Ketua DPR RI Sufmi Dasco Ahmad merespons terkait urgensi pembahasan Rancangan Undang-Undang (RUU) tentang perubahan keempat UU Nomor 24 Tahun 2003 tentang Mahkamah Konstitusi (MK) yang bergulir di parlemen.

""Revisi UU MK ini bukan (baru bergulir) pada saat-saat seperti ini. Jadi kalau dibilang urgensinya ini sudah berproses dari bulan Februari sehingga kemudian proses-proses ini berjalan, sehingga kemudian kemarin itu sudah sampai pada puncaknya persetujuan antara pemerintah dan DPR,"" kata Dasco di Kompleks Parlemen, Senayan, Jakarta, Senin.

Dia menjelaskan bahwa RUU tersebut bukan tiba-tiba saja digulirkan di DPR, melainkan telah melewati sejumlah proses, di mana sembilan fraksi di parlemen dan pemerintah sudah menyepakati pula agar Revisi UU MK itu dibawa ke Rapat Paripurna.

""Jadi kemarin dalam rapat terakhir antara pemerintah dengan DPR, yang pertama itu sembilan fraksi sudah menyepakati isi dari Pasal 87. Saya enggak tahu versi yang mana yang dipegang Pak Mahfud. Lalu kemudian dari pemerintah itu ada Kemenkumham yang juga sudah menyepakati,"" ujarnya.

Dia juga membantah adanya aksi walk out dalam rapat konsinyering Komisi III DPR dengan pihak pemerintah yakni Kemenkumham dan Kemenpolhukam saat membahas revisi UU MK.

""Menurut saya enggak ada yang walk out ya karena kalau ada salah satu pihak yang izin keluar, kemudian masih ada pihak lain yang ada di dalam, kalau walk out itu ya seperti meninggalkan ruang sidang begitu kan,"" katanya.

Dasco pun memastikan bahwa revisi UU MK tidak akan masuk dalam agenda pengambilan persetujuan pada Rapat Paripurna DPR yang digelar Selasa (5/12) esok hari.

""Kalau itu nanti sesuai dengan kesepakatan lagi dengan teman-teman fraksi sampai dengan kapan, yang pasti tanggal 5 Desember besok itu tidak ada paripurna revisi UU MK,"" tuturnya.

Dia mengatakan fraksi-fraksi di DPR sepakat menunda pengambilan persetujuan RUU perubahan keempat UU MK dalam rapat paripurna terdekat untuk menghindari narasi publik bahwa persetujuan atas RUU tersebut merugikan salah satu pihak tertentu dan mengandung unsur politis.

""Kawan-kawan mempertimbangkan anggapan bahwa UU ini akan dipolitisasi dan lain-lain, sehingga kemudian salah satu pertimbangannya teman-teman kemudian sepakat untuk menunda paripurna revisi UU MK,"" ujar dia.

Sebelumnya, Menteri Koordinator Bidang Politik, Hukum, dan Keamanan (Menko Polhukam) Mahfud MD mengatakan pemerintah telah berkirim surat kepada Dewan Perwakilan Rakyat (DPR) RI meminta agar Rancangan Undang-Undang (RUU) tentang perubahan keempat UU Nomor 24 Tahun 2003 tentang Mahkamah Konstitusi (MK) tidak disahkan.

Mahfud membenarkan bahwa pemerintah belum menyetujui RUU tersebut. Secara teknis prosedural, kata Mahfud, belum ada keputusan rapat tingkat satu bahwa pemerintah sudah menandatangani RUU dimaksud bersama seluruh fraksi di DPR RI.

Pemerintah, kata Mahfud, mengusulkan kepada DPR agar mempertimbangkan terlebih dahulu peraturan peralihan yang menyangkut masa jabatan dan usia pensiun hakim MK.
Baca juga: Dasco: DPR sepakat tunda revisi UU MK diparipurnakan
Baca juga: Pemerintah bersurat ke DPR minta perubahan UU MK tak disahkan
Baca juga: Jimly sebut RUU MK cerminkan kemarahan pembatalan UU Ciptaker
Baca juga: Hakim MK dorong finalisasi RUU KUHPPewarta: Melalusa Susthira KhalidaEditor: Guido Merung				COPYRIGHT © ANTARA 2023
",hukum
KPK-Polri teken MOU perkuat penanganan tindak pidana korupsi,"

 









								ANTARA - Komisi Pemberantasan Korupsi (KPK) dan Polri menandatangani nota kesepahaman (MOU) guna memperkuat koordinasi dan supervisi penanganan perkara tindak pidana korupsi. Penandatanganan tersebut dilakukan di Gedung Merah Putih Jakarta, Senin (4/12).(Hreeloita Dharma Shanti /Azhfar Muhammad Robbani/Andi Bagasela/Ludmila Yusufin Diah Nastiti)							
",hukum
